chunk_id,n_cells,n_viol,worst_excess,worst_record
6,2000,0,0.000e+00,"None"
5,2000,0,0.000e+00,"None"
4,2000,0,0.000e+00,"None"
3,2000,0,0.000e+00,"None"
8,2000,0,0.000e+00,"None"
7,2000,0,0.000e+00,"None"
2,2000,0,0.000e+00,"None"
1,2000,0,0.000e+00,"None"
0,2000,0,0.000e+00,"None"
9,2000,0,0.000e+00,"None"
16,2000,0,0.000e+00,"None"
15,2000,0,0.000e+00,"None"
13,2000,0,0.000e+00,"None"
12,2000,0,0.000e+00,"None"
14,2000,0,0.000e+00,"None"
10,2000,0,0.000e+00,"None"
11,2000,0,0.000e+00,"None"
18,2000,0,0.000e+00,"None"
17,2000,0,0.000e+00,"None"
19,2000,0,0.000e+00,"None"
20,2000,0,0.000e+00,"None"
21,2000,0,0.000e+00,"None"
22,2000,0,0.000e+00,"None"
23,2000,0,0.000e+00,"None"
24,2000,0,0.000e+00,"None"
25,2000,0,0.000e+00,"None"
26,2000,0,0.000e+00,"None"
28,2000,0,0.000e+00,"None"
27,2000,0,0.000e+00,"None"
29,2000,0,0.000e+00,"None"
30,2000,0,0.000e+00,"None"
31,2000,0,0.000e+00,"None"
32,2000,0,0.000e+00,"None"
33,2000,0,0.000e+00,"None"
34,2000,0,0.000e+00,"None"
35,2000,0,0.000e+00,"None"
36,2000,0,0.000e+00,"None"
37,2000,0,0.000e+00,"None"
38,2000,0,0.000e+00,"None"
39,2000,0,0.000e+00,"None"
40,2000,0,0.000e+00,"None"
41,2000,0,0.000e+00,"None"
42,2000,0,0.000e+00,"None"
43,2000,0,0.000e+00,"None"
44,2000,0,0.000e+00,"None"
45,2000,0,0.000e+00,"None"
46,2000,0,0.000e+00,"None"
47,2000,0,0.000e+00,"None"
48,2000,0,0.000e+00,"None"
49,2000,0,0.000e+00,"None"
50,2000,0,0.000e+00,"None"
51,2000,0,0.000e+00,"None"
52,2000,0,0.000e+00,"None"
53,2000,0,0.000e+00,"None"
54,2000,0,0.000e+00,"None"
55,2000,0,0.000e+00,"None"
56,2000,0,0.000e+00,"None"
57,2000,0,0.000e+00,"None"
58,2000,0,0.000e+00,"None"
60,2000,0,0.000e+00,"None"
59,2000,0,0.000e+00,"None"
61,2000,0,0.000e+00,"None"
62,2000,0,0.000e+00,"None"
63,2000,0,0.000e+00,"None"
64,2000,0,0.000e+00,"None"
65,2000,0,0.000e+00,"None"
66,2000,0,0.000e+00,"None"
67,2000,0,0.000e+00,"None"
68,2000,0,0.000e+00,"None"
69,2000,0,0.000e+00,"None"
70,2000,0,0.000e+00,"None"
71,2000,0,0.000e+00,"None"
72,2000,0,0.000e+00,"None"
73,2000,0,0.000e+00,"None"
74,2000,0,0.000e+00,"None"
75,2000,0,0.000e+00,"None"
76,2000,0,0.000e+00,"None"
77,2000,0,0.000e+00,"None"
78,2000,0,0.000e+00,"None"
79,2000,0,0.000e+00,"None"
80,2000,0,0.000e+00,"None"
81,2000,0,0.000e+00,"None"
82,2000,0,0.000e+00,"None"
83,2000,0,0.000e+00,"None"
84,2000,0,0.000e+00,"None"
85,2000,0,0.000e+00,"None"
86,2000,0,0.000e+00,"None"
87,2000,0,0.000e+00,"None"
88,2000,0,0.000e+00,"None"
89,2000,0,0.000e+00,"None"
90,2000,0,0.000e+00,"None"
91,2000,0,0.000e+00,"None"
92,2000,0,0.000e+00,"None"
93,2000,0,0.000e+00,"None"
94,2000,0,0.000e+00,"None"
95,2000,0,0.000e+00,"None"
96,2000,0,0.000e+00,"None"
97,2000,0,0.000e+00,"None"
98,2000,0,0.000e+00,"None"
99,2000,0,0.000e+00,"None"
100,2000,0,0.000e+00,"None"
101,2000,0,0.000e+00,"None"
102,2000,0,0.000e+00,"None"
103,2000,0,0.000e+00,"None"
104,2000,0,0.000e+00,"None"
105,2000,0,0.000e+00,"None"
106,2000,0,0.000e+00,"None"
107,2000,0,0.000e+00,"None"
108,2000,0,0.000e+00,"None"
109,2000,0,0.000e+00,"None"
110,2000,0,0.000e+00,"None"
111,2000,0,0.000e+00,"None"
112,2000,0,0.000e+00,"None"
113,2000,0,0.000e+00,"None"
114,2000,0,0.000e+00,"None"
115,2000,0,0.000e+00,"None"
116,2000,0,0.000e+00,"None"
117,2000,0,0.000e+00,"None"
118,2000,0,0.000e+00,"None"
119,2000,0,0.000e+00,"None"
120,2000,0,0.000e+00,"None"
121,2000,0,0.000e+00,"None"
122,2000,0,0.000e+00,"None"
123,2000,0,0.000e+00,"None"
124,2000,0,0.000e+00,"None"
125,2000,0,0.000e+00,"None"
126,2000,0,0.000e+00,"None"
127,2000,0,0.000e+00,"None"
